,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,-0.262,0.145,-0.515,0.015,0.003,0.001,1858.0,5289.0,1.0
level_effects[0],0.906,0.301,0.379,1.486,0.005,0.002,4031.0,8673.0,1.0
level_effects[1],0.012,0.188,-0.346,0.333,0.004,0.002,2654.0,7100.0,1.0
level_effects[2],-0.448,0.188,-0.799,-0.122,0.004,0.001,1866.0,7240.0,1.0
level_effects[3],-0.471,0.229,-0.895,-0.034,0.004,0.002,3645.0,8565.0,1.0
effect,-0.287,0.321,-0.842,0.383,0.023,0.013,245.0,565.0,1.02
sd_fluctuation,0.665,0.436,0.001,1.44,0.016,0.005,737.0,1813.0,1.01
p[0],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[1],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[2],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[3],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[4],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[5],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[6],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[7],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[8],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[9],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[10],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[11],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[12],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[13],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[14],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[15],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[16],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[17],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[18],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[19],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[20],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[21],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[22],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[23],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[24],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[25],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[26],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[27],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[28],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[29],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[30],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[31],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[32],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[33],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[34],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[35],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[36],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[37],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[38],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[39],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[40],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[41],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[42],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[43],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[44],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[45],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[46],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[47],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[48],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[49],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[50],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[51],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[52],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[53],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[54],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[55],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[56],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[57],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[58],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[59],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[60],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[61],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[62],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[63],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[64],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[65],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[66],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[67],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[68],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[69],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[70],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[71],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[72],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[73],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[74],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[75],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[76],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[77],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[78],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[79],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[80],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[81],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[82],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[83],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[84],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[85],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[86],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[87],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[88],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[89],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[90],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[91],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[92],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[93],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[94],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[95],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[96],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[97],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[98],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[99],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[100],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[101],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
