,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,-0.259,0.145,-0.509,0.02,0.005,0.002,948.0,2115.0,1.0
level_effects[0],0.922,0.305,0.376,1.497,0.009,0.004,1267.0,2225.0,1.0
level_effects[1],0.006,0.188,-0.363,0.324,0.006,0.003,897.0,2267.0,1.0
level_effects[2],-0.456,0.191,-0.798,-0.105,0.007,0.003,703.0,1914.0,1.0
level_effects[3],-0.472,0.228,-0.886,-0.036,0.005,0.003,2136.0,2992.0,1.0
effect,-0.322,0.289,-0.834,0.31,0.024,0.02,196.0,208.0,1.01
sd_fluctuation,0.658,0.416,0.004,1.387,0.02,0.007,332.0,396.0,1.01
p[0],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[1],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[2],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[3],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[4],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[5],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[6],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[7],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[8],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[9],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[10],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[11],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[12],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[13],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[14],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[15],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[16],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[17],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[18],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[19],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[20],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[21],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[22],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[23],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[24],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[25],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[26],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[27],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[28],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[29],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[30],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[31],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[32],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[33],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[34],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[35],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[36],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[37],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[38],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[39],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[40],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[41],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[42],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[43],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[44],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[45],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[46],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[47],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[48],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[49],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[50],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[51],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[52],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[53],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[54],0.655,0.086,0.506,0.821,0.003,0.001,964.0,2019.0,1.0
p[55],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[56],0.438,0.044,0.353,0.518,0.001,0.001,2219.0,3174.0,1.0
p[57],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[58],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[59],0.328,0.062,0.217,0.443,0.002,0.001,990.0,1714.0,1.0
p[60],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
p[61],0.33,0.036,0.264,0.399,0.001,0.0,2165.0,2895.0,1.0
